week_ending,store_code_x,city,division_code,units,revenue,n_transactions,revenue_clean,is_return,is_active_product,weeks_with_sales,store_code_y,province,avg_temp,max_temp,total_precip,sunshine_hours,rain_days,snow_days,bad_weather_days,store_code,n_holidays,has_holiday,month,week_of_yr,year,sin_week_1,cos_week_1,sin_week_2,cos_week_2,sin_month_1,cos_month_1,year_idx,quarter,is_summer_peak,is_spring_opening,is_fall_closing,is_winter_off,avg_temp_dev,avg_temp_dev_z,total_precip_dev,total_precip_dev_z,sunshine_hours_dev,sunshine_hours_dev_z,rain_days_dev,rain_days_dev_z,snow_days_dev,snow_days_dev_z,bad_weather_days_dev,bad_weather_days_dev_z,temp_above_20,temp_above_25,temp_below_0,cooling_degree_days,heating_degree_days,avg_temp_lag_1w,avg_temp_lag_2w,temp_shock,temp_warming,precip_x_summer,bad_wx_x_summer,sunshine_x_summer,temp_above_25_x_sum,precip_x_spring,temp_warming_x_spr,units_lag_1w,units_lag_2w,units_lag_4w,units_lag_52w,units_roll4_mean,units_roll4_std,units_roll8_mean,units_roll8_std,units_roll12_mean,units_roll12_std,units_volatility,revenue_lag_1w,revenue_lag_4w,revenue_roll4_mean,avg_price_per_unit,price_lag_1w
2023-11-12,CP02,Blainville,BQ,1.0,24.99,1,24.99,0,1,71,CP02,QC,1.14,9.6,14.5,42.62,3.0,1.0,4.0,CP02,0,0,11,45,2023,-0.7485107481711011,0.6631226582407953,-0.992708874098054,-0.12053668025532294,-0.5000000000000004,0.8660254037844384,0,4,0,0,0,1,-1.811397849462366,-0.6245240788888063,-3.4763440860215056,-0.22105538307101655,6.064946236559138,0.4986393068128812,0.4086021505376345,0.3036361571433019,-0.5483870967741935,-0.4634428920609701,-0.13978494623655902,-0.09573149021234915,0,0,0,0.0,16.86,,,,,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,24.99,
2023-11-19,CP02,Blainville,BQ,1.0,0.84,1,0.84,0,1,71,CP02,QC,2.13,15.4,9.1,39.07,1.0,3.0,4.0,CP02,0,0,11,46,2023,-0.6631226582407956,0.7485107481711007,-0.9927088740980541,0.12053668025532208,-0.5000000000000004,0.8660254037844384,0,4,0,0,0,1,-0.8213978494623659,-0.2831971648243852,-8.876344086021506,-0.5644330922521625,2.5149462365591404,0.20677034868176877,-1.5913978494623655,-1.1825829278212807,1.4516129032258065,1.22676059663198,-0.13978494623655902,-0.09573149021234915,0,0,0,0.0,15.870000000000001,1.14,,0.99,0.99,0.0,0.0,0.0,0,0.0,0.0,1.0,,,,,,,,,,,24.99,,,0.84,24.99
2024-02-18,CP02,Blainville,BQ,2.0,1569.99,2,1569.99,0,1,71,CP02,QC,-7.73,2.0,8.3,41.96,0.0,6.0,6.0,CP02,0,0,2,7,2024,0.7485107481711011,0.6631226582407953,0.992708874098054,-0.12053668025532288,0.8660254037844386,0.5000000000000001,1,1,0,0,0,1,1.4948275862068972,0.515378673796331,-2.958620689655172,-0.1881341471758769,-6.388045977011494,-0.5252034714940819,-0.3218390804597701,-0.2391616918333811,2.2758620689655173,1.9233350043747361,1.9540229885057467,1.338209425514802,0,0,1,0.0,25.73,2.13,1.14,9.86,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,,,1.0,0.0,,,,,0.0,0.84,,12.915,784.995,0.84
2024-03-10,CP02,Blainville,BQ,0.0,0.0,1,0.0,0,1,71,CP02,QC,2.9,12.9,36.0,36.13,2.0,1.0,3.0,CP02,0,0,3,10,2024,0.9350162426854148,0.35460488704253557,0.6631226582407952,-0.7485107481711012,1.0,6.123233995736766e-17,1,1,0,0,0,1,3.9145161290322577,1.3496259700787716,18.84758064516129,1.1984887158411832,-14.096290322580643,-1.1589491746381122,0.814516129032258,0.6052747079896081,-2.064516129032258,-1.7447261818765933,-1.25,-0.8560604413219691,0,0,0,0.0,15.1,-7.73,2.13,10.63,10.63,0.0,0.0,0.0,0,0.0,0.0,2.0,1.0,,,1.3333333333333333,0.5773502691896258,,,,,0.4330127018922194,1569.99,,531.9399999999999,,784.995
2024-03-17,CP02,Blainville,BQ,1.0,79.99,1,79.99,0,1,71,CP02,QC,2.23,13.1,17.2,56.21,0.0,5.0,5.0,CP02,0,0,3,11,2024,0.970941817426052,0.23931566428755804,0.46472317204376906,-0.8854560256532096,1.0,6.123233995736766e-17,1,1,0,0,0,1,3.2445161290322577,1.1186269474291128,0.04758064516128968,0.0030255801734897464,5.983709677419355,0.49196031248097,-1.185483870967742,-0.8809443769749744,1.935483870967742,1.6356807955093065,0.75,0.5136362647931815,0,0,0,0.0,15.77,2.9,-7.73,0.6699999999999999,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,1.0,,1.0,0.816496580927726,1.0,0.816496580927726,,,0.816496580927726,0.0,24.99,398.955,79.99,
2024-03-24,CP02,Blainville,BQ,1.0,2399.99,1,2399.99,0,1,71,CP02,QC,-3.16,5.1,10.4,53.59,0.0,4.0,4.0,CP02,0,0,3,12,2024,0.992708874098054,0.120536680255323,0.23931566428755768,-0.970941817426052,1.0,6.123233995736766e-17,1,1,0,0,0,1,-2.145483870967742,-0.7397084735882911,-6.752419354838709,-0.42937597953610146,3.363709677419358,0.27655279971941665,-1.185483870967742,-0.8809443769749744,0.935483870967742,0.7905790511628314,-0.25,-0.17121208826439382,0,0,1,0.0,21.16,2.23,2.9,5.390000000000001,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,1.0,,1.0,0.816496580927726,1.0,0.7071067811865476,,,0.816496580927726,79.99,0.84,412.705,2399.99,79.99
2024-03-31,CP02,Blainville,BQ,2.0,1199.98,2,1199.98,0,1,71,CP02,QC,3.87,15.1,2.9,70.81,1.0,0.0,1.0,CP02,1,1,3,13,2024,1.0,-1.6081226496766366e-16,-3.216245299353273e-16,-1.0,1.0,6.123233995736766e-17,1,1,0,0,0,1,4.884516129032258,1.6840573909297705,-14.25241935483871,-0.9062894645099153,20.583709677419357,1.6923227881751237,-0.185483870967742,-0.1378348344926831,-3.064516129032258,-2.5898279262230686,-3.25,-2.2257571474371196,0,0,0,0.0,14.129999999999999,-3.16,2.23,7.03,7.03,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,2.0,,1.0,0.816496580927726,1.0,0.6324555320336759,1.0,0.6324555320336759,0.816496580927726,2399.99,1569.99,1012.4925,599.99,2399.99
2024-04-07,CP02,Blainville,BQ,2.0,1049.98,2,1049.98,0,1,71,CP02,QC,2.97,13.4,35.8,46.23,1.0,3.0,4.0,CP02,0,0,4,14,2024,0.992708874098054,-0.12053668025532288,-0.23931566428755743,-0.9709418174260521,0.8660254037844387,-0.49999999999999983,1,2,0,1,0,0,-2.691724137931034,-0.9280382762754689,8.631034482758619,0.5488342312135429,-10.705632183908044,-0.8801807638456758,-2.103448275862069,-1.5630924859110265,1.6091954022988506,1.3599338414770863,-0.49425287356321856,-0.33848826645374425,0,0,0,0.0,15.03,3.87,-3.16,0.8999999999999999,0.0,0.0,0.0,0.0,0,35.8,0.0,2.0,1.0,0.0,,1.0,0.816496580927726,1.1428571428571428,0.6900655593423543,1.1428571428571428,0.6900655593423543,0.816496580927726,1199.98,0.0,919.9899999999999,524.99,599.99
2024-04-21,CP02,Blainville,BQ,4.0,2049.96,4,2049.96,0,1,71,CP02,QC,6.91,14.1,14.6,64.09,4.0,1.0,5.0,CP02,0,0,4,16,2024,0.9350162426854148,-0.35460488704253545,-0.663122658240795,-0.7485107481711013,0.8660254037844387,-0.49999999999999983,1,2,0,1,0,0,1.248275862068966,0.4303738867687931,-12.568965517241379,-0.7992412196457709,7.154367816091963,0.5882078536815564,0.896551724137931,0.6662361415358473,-0.3908045977011494,-0.33026964721586377,0.5057471264367814,0.34636008660383105,0,0,0,0.0,11.09,2.97,3.87,3.94,3.94,0.0,0.0,0.0,0,14.6,3.94,2.0,2.0,1.0,,1.5,0.5773502691896257,1.25,0.7071067811865476,1.25,0.7071067811865476,0.38490017945975047,1049.98,79.99,1182.4850000000001,512.49,524.99
2024-04-28,CP02,Blainville,BQ,2.0,322.93,2,322.93,0,1,71,CP02,QC,7.14,20.5,25.5,74.13,3.0,1.0,4.0,CP02,0,0,4,17,2024,0.8854560256532099,-0.4647231720437685,-0.8229838658936564,-0.5680647467311559,0.8660254037844387,-0.49999999999999983,1,2,0,1,0,0,1.4782758620689656,0.5096720587231535,-1.6689655172413786,-0.1061269548171613,17.194367816091955,1.4136625972410968,-0.10344827586206895,-0.07687340094644392,-0.3908045977011494,-0.33026964721586377,-0.49425287356321856,-0.33848826645374425,0,0,0,0.0,10.86,6.91,2.97,0.22999999999999954,0.22999999999999954,0.0,0.0,0.0,0,25.5,0.22999999999999954,4.0,2.0,1.0,,2.25,1.2583057392117916,1.625,1.1877349391654208,1.5555555555555556,1.1303883305208782,0.5592469952052407,2049.96,2399.99,1674.9775,161.465,512.49
